"","country","iso_code","total_cases","total_new_cases","new_cases_per_hundred_thousand_pop","estimate","lower","upper","population","prevalence_mid","prevalence_low","prevalence_high"
"24","Central African Republic","CAF",2964,604,12.5057870322442,0.929422523878055,0.690209081223769,0.999997211229831,4829764,0.00027,0.00016,0.0006
"25","Chad","TCD",839,7,0.0426157316947625,0.695714654678592,0.135527398313647,0.999963928939547,16425859,0.0000012,0.00000053,0.00001
"26","Chile","CHL",298356,30791,161.072731523285,0.56463585324893,0.144530383002421,0.976862999670571,19116209,0.0057,0.0021,0.037
"27","China","CHN",84837,153,0.0106299918589408,0.94220079892138,0.248002340784351,1,1439323774,0.00000023,0.00000013,0.0000014
"28","Colombia","COL",120236,31690,62.2802748366229,0.288215188552339,0.253670045338668,0.324480525560624,50882884,0.0043,0.0024,0.0082
"29","Congo - Brazzaville","COG",1414,312,5.65412827477324,0.760786650104443,0.506946750242157,0.992286180008816,5518092,0.00015,0.000071,0.00037
"30","Congo - Kinshasa","COD",7418,880,0.982566106266043,0.934807250548549,0.705068622576715,0.999987979949249,89561404,0.000021,0.000012,0.000046
"31","Costa Rica","CRI",4508,2262,44.4041888344077,0.966054930869485,0.832111422754902,0.999999999806252,5094114,0.00092,0.00056,0.0018
"32","Côte d’Ivoire","CIV",10643,2227,8.44255357865516,0.985910659486929,0.929017379103929,0.999999999995638,26378275,0.00017,0.00011,0.0003
"33","Croatia","HRV",3014,596,14.5179315942345,0.879218462074293,0.643887992678645,0.999288161844977,4105268,0.00033,0.00018,0.00075
"34","Cuba","CUB",2332,50,0.441438113554834,0.855867718177686,0.425611056489524,0.999999724178975,11326616,0.00001,0.0000055,0.000035
"35","Cyprus","CYP",858,10,0.828252693270695,0.832617489330089,0.441917304318458,0.999773871602509,1207361,0.00002,0.00001,0.000062
"36","Czechia","CZE",12352,1268,11.8405278858439,0.955924143627306,0.80014875648177,0.999999952659408,10708982,0.00025,0.00015,0.00049
"37","Denmark","DNK",12847,203,3.5047114198173,0.843804896956694,0.58151494757499,0.995464221719274,5792203,0.000083,0.000044,0.0002
"38","Djibouti","DJI",3689,179,18.11737223204,0.92729756624428,0.733782118946062,0.999996999881547,988002,0.00039,0.00023,0.00082
"39","Dominican Republic","DOM",38123,7509,69.2207453163302,0.872954898542915,0.729183131123502,0.990622163843665,10847904,0.0016,0.00087,0.0032
"40","Ecuador","ECU",66357,7806,44.2440256962228,0.345918552497886,0.287025501499142,0.412640467521149,17643060,0.0026,0.0013,0.0051
"41","Egypt","EGY",76173,12299,12.0184411492585,0.240289965381499,0.198517972194225,0.285769497481482,102334403,0.001,0.00053,0.002
"42","El Salvador","SLV",7863,2093,32.2685035508459,0.335729354255858,0.228212929725287,0.449474758115283,6486201,0.0019,0.0009,0.0047
"43","Equatorial Guinea","GNQ",2632,1070,76.2659615035086,0.962366401689412,0.656083698727016,1,1402985,0.0016,0.00095,0.0039
"44","Estonia","EST",1727,8,0.60307310979926,0.597591274958118,0.293766793619936,0.980853968207682,1326539,0.00002,0.0000077,0.000068
"45","Eswatini","SWZ",521,266,22.9277929672012,0.744830398285252,0.450228515441414,0.996835537703162,1160164,0.00062,0.00029,0.0017
"46","Ethiopia","ETH",6069,816,0.709789986277655,0.542516257026847,0.334406894017583,0.735283754509348,114963583,0.000026,0.000012,0.000071
"47","Finland","FIN",7008,84,1.51604900303535,0.864176181487717,0.388858434906791,0.999999914433993,5540718,0.000035,0.000019,0.00013
"48","France","FRA",169089,5399,8.27134902745849,0.449038989593266,0.35106329243409,0.5677328574032,65273512,0.00037,0.00018,0.00079
"49","Gabon","GAB",5467,534,23.9921499841849,0.976118296599996,0.885269512445452,0.999999999962371,2225728,0.00049,0.0003,0.0009
"50","Georgia","GEO",514,34,0.852306554613423,0.844863503977822,0.509518221060913,0.999881427297801,3989175,0.00002,0.000011,0.000056
"51","Germany","DEU",196815,3445,4.11176628171424,0.964232298421255,0.882222447118927,0.999095047366447,83783945,0.000085,0.000051,0.00016
"52","Ghana","GHA",20699,4646,14.9519139560154,0.990867838351097,0.951627948700153,0.999999999999997,31072945,0.0003,0.00019,0.00052
"53","Greece","GRC",3496,196,1.88044657919904,0.825489643103608,0.508928840547335,0.998576209994126,10423056,0.000046,0.000024,0.00012
"54","Guatemala","GTM",23885,7575,42.2816648783709,0.353649325987641,0.286088143472364,0.444226476086585,17915567,0.0024,0.0012,0.0049
"55","Guinea","GIN",4948,345,2.62701183419337,0.973016144330005,0.861915499971416,0.999999999747495,13132792,0.000054,0.000033,0.0001
"56","Guinea-Bissau","GNB",676,151,7.67277202517482,0.660154088035752,0.386063997004383,0.977039660320126,1967998,0.00023,0.000098,0.00066
"57","Guyana","GUY",211,48,6.10253013442094,0.342063224579075,0.133369218148986,0.718591564760728,786559,0.00036,0.00011,0.0015
"58","Haiti","HTI",6314,594,5.20936883059229,0.619886930288977,0.345498761219308,0.990845493290157,11402533,0.00017,0.000066,0.0005
"59","Honduras","HND",24656,7658,77.317547549585,0.49403613313342,0.408265099049484,0.592691304019522,9904608,0.0031,0.0016,0.0063
"60","Hungary","HUN",4177,51,0.527931182617607,0.175511998815841,0.104372267267243,0.319336806006853,9660350,0.00006,0.000021,0.00017
"61","Iceland","ISL",304,30,8.79120879120879,0.883371135536016,0.553925534589327,0.999979405340987,341250,0.0002,0.00011,0.00053
"62","India","IND",719592,190806,13.8264778049962,0.571242480969655,0.508734791606293,0.635863966913497,1380004385,0.00048,0.00027,0.00091
"63","Indonesia","IDN",64956,12146,4.44056712747306,0.236132390176233,0.200249935374397,0.279517561136378,273523621,0.00038,0.0002,0.00074
"64","Iran","IRN",243051,22871,27.2296653268043,0.170172884383615,0.148978723419877,0.192738557168318,83992953,0.0032,0.0018,0.0061
"65","Iraq","IRQ",62249,19013,47.269559529898,0.360672961425795,0.304436972815198,0.415057305996397,40222503,0.0026,0.0014,0.0052
"66","Ireland","IRL",25461,94,1.90368334374284,0.295142948635966,0.156179697892459,0.505812328615722,4937796,0.00013,0.000047,0.00041
"67","Israel","ISR",31070,7765,89.7113190267367,0.990159543269372,0.944844433430102,0.999999983831903,8655541,0.0018,0.0011,0.0032
"68","Italy","ITA",241964,1683,2.78357445626685,0.238569258797925,0.173836554589562,0.34043556522245,60461828,0.00023,0.0001,0.00053
"69","Jamaica","JAM",203,47,1.58721528481565,0.829028665134058,0.463236714842606,0.999930303115815,2961161,0.000038,0.00002,0.00011
"70","Japan","JPN",19464,1238,0.978838290996416,0.963846434169089,0.831161176380682,0.999998970854056,126476458,0.00002,0.000012,0.000039
"71","Jordan","JOR",159,56,0.548850647937792,0.732698170920971,0.325700682897394,0.999078989712502,10203140,0.000015,0.0000069,0.000056
"72","Kazakhstan","KAZ",49490,28903,153.930079432991,0.998745857469628,0.986193722748473,1,18776707,0.0031,0.0019,0.0052
"73","Kenya","KEN",7986,2256,4.19554669498413,0.723435774818173,0.522887562223533,0.919697593376261,53771300,0.00012,0.000057,0.00027
"74","Kuwait","KWT",49901,6253,146.420975407692,0.99344032350534,0.955972698100222,0.999999999321944,4270563,0.0029,0.0018,0.0051
"75","Kyrgyzstan","KGZ",7587,3393,52.0064480025186,0.741171695710889,0.0507930662848748,0.998917442214942,6524191,0.0014,0.00065,0.034
"76","Latvia","LVA",550,12,0.636199092143895,0.441444045973209,0.219408170196426,0.784847929390936,1886202,0.000029,0.00001,0.000097
"77","Lebanon","LBN",1786,166,2.43207692630016,0.907611996514058,0.642523189147856,0.999999997875689,6825442,0.000054,0.00003,0.00013
"78","Liberia","LBR",843,162,3.20305151950194,0.111521851288351,0.0537824351858249,0.223875289310636,5057677,0.00057,0.00018,0.002
"79","Libya","LBY",878,333,4.84625369308544,0.398586128140161,0.265334901669131,0.611508920709311,6871287,0.00024,0.000099,0.00061
"80","Lithuania","LTU",1803,28,1.02854544205597,0.375603783814678,0.21618162072128,0.685414176491327,2722291,0.000055,0.000019,0.00016
"81","Luxembourg","LUX",4504,325,51.9189234092042,0.892310425391208,0.650032778094724,0.99987121203592,625976,0.0012,0.00065,0.0027
"82","Madagascar","MDG",2638,1245,4.49604256166954,0.898209896453909,0.703912420467712,0.999968180121918,27691019,0.0001,0.000056,0.00021
"83","Malawi","MWI",1380,780,4.07737498598402,0.375061926588063,0.220933169012197,0.538893599907501,19129955,0.00022,0.000095,0.00062
"84","Malaysia","MYS",8569,52,0.160662433458718,0.915440505363326,0.432278737463708,1,32365998,0.0000035,0.000002,0.000012
"85","Maldives","MDV",354,186,34.4099070932508,0.834823997685457,0.52182006247129,0.999859613905412,540542,0.00082,0.00043,0.0022
"86","Mali","MLI",2313,213,1.05180853292264,0.748583010692918,0.443463822397363,0.990605998614036,20250834,0.000028,0.000013,0.000079
"87","Mauritania","MRT",4870,972,20.9047543261228,0.893223242548456,0.406163802168187,0.999999992682422,4649660,0.00047,0.00026,0.0017
"88","Mauritius","MUS",8,0,0,0.628236607715452,0.17814458206632,0.996989769378667,1271767,0,0,0
"89","Mexico","MEX",261724,48948,37.9639764614349,0.147793565618285,0.129267934554038,0.167262024766324,128932753,0.0051,0.0028,0.0098
"90","Moldova","MDA",17826,1826,45.2656605923257,0.512059918557051,0.409532012422127,0.633505922022046,4033963,0.0018,0.00089,0.0037
"91","Montenegro","MNE",516,372,59.2298212596846,0.555508845151043,0.343116931803691,0.870279849896598,628062,0.0021,0.00085,0.0058
"92","Morocco","MAR",14323,2452,6.64308569921918,0.956291840666294,0.684303626501026,1,36910558,0.00014,0.000083,0.00032
"93","Nepal","NPL",15477,4209,14.4456455216371,0.991454467491743,0.951288809197035,1,29136808,0.00029,0.00018,0.00051
"94","Netherlands","NLD",50595,528,3.08143515274376,0.927517664852169,0.718317707670736,0.999936910978014,17134873,0.000066,0.000039,0.00014
"95","New Zealand","NZL",414,10,0.207372808406396,0.571087689990237,0.24338116916022,0.976976603527108,4822233,0.0000073,0.0000027,0.000028
"96","Nicaragua","NIC",2503,349,5.26827919283321,0.807840517277348,0.425283771605848,0.999999992099532,6624554,0.00013,0.000066,0.00041
"97","Niger","NER",1092,25,0.103277464906731,0.543682333842715,0.171129269712404,0.996982213871974,24206636,0.0000038,0.0000013,0.00002
"98","Nigeria","NGA",29189,5209,2.52692851276548,0.802910414611318,0.665699262618365,0.949469965529199,206139587,0.000063,0.000033,0.00013
"99","North Macedonia","MKD",7080,1206,57.8867033378452,0.307045919034673,0.241178521952538,0.396138335851486,2083380,0.0038,0.0018,0.008
"100","Norway","NOR",8653,115,2.12128512248669,0.677854961262809,0.271949146548601,0.99891895700867,5421242,0.000063,0.000027,0.00026
"101","Oman","OMN",47251,10782,211.137617000044,0.99104329065902,0.950494430511931,0.999999999999992,5106622,0.0043,0.0026,0.0074
"102","Pakistan","PAK",234479,31554,14.2847874605479,0.84811760231844,0.739087609577149,0.94496466165516,220892331,0.00034,0.00019,0.00064
"103","Palestinian Territories","PSE",4085,2733,53.573360808058,0.955106292592105,0.825653078396535,0.999999966229214,5101416,0.0011,0.00067,0.0022
"104","Panama","PAN",39298,8676,201.076859752367,0.489024928728987,0.407728430654033,0.580790890349706,4314768,0.0082,0.0043,0.016
"105","Paraguay","PRY",2282,514,7.20641904064897,0.941932996878333,0.749093970012079,0.999999884669903,7132530,0.00015,0.00009,0.00032
"106","Peru","PER",305665,29714,90.1193096680119,0.274768245154125,0.240467202283052,0.312304483128549,32971846,0.0066,0.0036,0.012
"107","Philippines","PHL",46330,11530,10.5218888825567,0.282915686850818,0.230148511332594,0.338601300806982,109581085,0.00074,0.00039,0.0015
"108","Poland","POL",36133,2441,6.44971986258741,0.558898835515584,0.4289399779506,0.714662066802,37846605,0.00023,0.00011,0.0005
"109","Portugal","PRT",44269,2940,28.8328378956069,0.898075506688364,0.694315347497085,0.999994427872035,10196707,0.00064,0.00036,0.0014
"110","Puerto Rico","PRI",8585,1519,53.0962933963451,0.982799246255266,0.867618198235563,0.999999999904982,2860840,0.0011,0.00066,0.002
"111","Qatar","QAT",98135,6682,231.92852630629,0.927764868719552,0.577979546626416,0.999999999258894,2881060,0.005,0.0029,0.013
"112","Romania","ROU",29198,3201,16.6392187998533,0.330237008509017,0.259842686807566,0.410516465279323,19237682,0.001,0.00051,0.0021
"113","Russia","RUS",687769,60216,41.2623584587218,0.656844410219022,0.589539633126993,0.725009276969364,145934460,0.0013,0.00071,0.0023
"114","São Tomé & Príncipe","STP",509,8,3.65028449404776,0.856561542025212,0.501502967524159,0.999982496102764,219161,0.000085,0.000046,0.00024
"115","Saudi Arabia","SAU",213583,35212,101.143604644666,0.746301066990022,0.594131263473367,0.923168853687759,34813867,0.0027,0.0014,0.0057
"116","Senegal","SEN",7101,1019,6.08578750627839,0.554487196661525,0.375637295579597,0.78918597004251,16743930,0.00022,0.000096,0.00054
"117","Serbia","SRB",16374,2628,30.0777007268778,0.3796753037031,0.271400804823157,0.515800685793074,8737370,0.0016,0.00073,0.0037
"118","Sierra Leone","SLE",1492,132,1.65476053922629,0.791416893223706,0.372089818570443,0.999945758927053,7976985,0.000042,0.000021,0.00015
"119","Singapore","SGP",44104,1737,29.6905668607806,0.950374206673535,0.750584523768038,0.999999984701865,5850343,0.00062,0.00037,0.0013
"120","Slovakia","SVK",1294,108,1.97815131868512,0.872761246260928,0.611261911021217,0.999928475824404,5459643,0.000045,0.000025,0.00011
"121","Slovenia","SVN",1497,144,6.92663348296144,0.753838663195501,0.412665219091281,0.996202105316667,2078932,0.00018,0.000087,0.00056
"122","Somalia","SOM",2998,128,0.805374921216401,0.913646992781659,0.608147895749209,0.999996798427024,15893219,0.000018,0.00001,0.000044
"123","South Africa","ZAF",205447,73921,124.63772172341,0.932433561972274,0.84246799201582,0.99348487319138,59308690,0.0027,0.0016,0.0049
"124","South Korea","KOR",13153,466,0.908928078686177,0.866017315805675,0.448978630100576,0.999999741312271,51269183,0.000021,0.000011,0.000067
"125","South Sudan","SSD",1857,135,1.20603241332714,0.725590453508389,0.463985118124151,0.983140470639744,11193729,0.000033,0.000015,0.000087
"126","Spain","ESP",252871,3320,7.10087778612939,0.847698648375127,0.301625781528104,1,46754783,0.00017,0.000089,0.00078
"127","Sri Lanka","LKA",1209,45,0.210150257434065,0.960465863092575,0.822138092193754,0.999999996354393,21413250,0.0000044,0.0000026,0.0000085
"128","Sudan","SDN",9757,509,1.16079472157221,0.258012335351349,0.168271615204841,0.378643932688396,43849269,0.00009,0.000038,0.00023
"129","Suriname","SUR",477,223,38.0134802960619,0.644507329056135,0.354902682393001,0.985192220605858,586634,0.0012,0.00048,0.0036
"130","Sweden","SWE",73026,7924,78.4611164965389,0.794361771477156,0.628088223294741,0.941390160203247,10099270,0.002,0.001,0.0042
"131","Switzerland","CHE",32212,758,8.75832994593176,0.9270069463905,0.768878721128311,0.999108387537071,8654618,0.00019,0.00011,0.00038
"132","Syria","SYR",185,116,0.662832258240362,0.159469030785654,0.0876057480493207,0.278158107194317,17500657,0.000083,0.00003,0.00025
"133","Tajikistan","TJK",6262,463,4.8544493492207,0.971594359564523,0.721469615941579,1,9537642,0.0001,0.000061,0.00022
"134","Tanzania","TZA",484,0,0,0.598774394515442,0.281794141123647,0.982234405817715,59734213,0,0,0
"135","Thailand","THA",3018,33,0.0472779518641109,0.814074849670977,0.482746146326434,0.999951197810878,69799978,0.0000012,0.00000059,0.0000033
"136","Togo","TGO",590,65,0.785143917484032,0.869729679272669,0.558260827963858,0.999987781449837,8278737,0.000018,0.0000098,0.000047
"137","Tunisia","TUN",1170,31,0.262298011493391,0.766328329386511,0.364898124345835,0.999968767675655,11818618,0.0000068,0.0000033,0.000024
"138","Turkey","TUR",206844,10961,12.9963496039149,0.900627983441331,0.766014324092563,0.994392901844083,84339067,0.00029,0.00016,0.00057
"139","Ukraine","UKR",49602,7542,17.2452589771668,0.71237908070381,0.571066274397492,0.861678886852653,43733759,0.00048,0.00025,0.001
"140","United Arab Emirates","ARE",51915,4708,47.6017147941438,0.98176643157689,0.839503040605688,1,9890400,0.00097,0.0006,0.0019
"141","United Kingdom","GBR",316001,5244,7.72471450816283,0.169982596903876,0.144230772176797,0.198214192095843,67886004,0.00091,0.00049,0.0018
"142","United States","USA",2938610,428302,129.39533985056,0.64491718679022,0.530199100127832,1,331002647,0.004,0.0016,0.0081
"143","Uruguay","URY",553,36,1.03635087040519,0.345748868029674,0.150552448442704,0.602535683612299,3473727,0.00006,0.000021,0.00023
"144","Uzbekistan","UZB",8894,2734,8.16870460509079,0.980679124108684,0.898212216768665,0.999999999997118,33469199,0.00017,0.0001,0.0003
"145","Venezuela","VEN",7110,2281,8.02153809353184,0.951584508331054,0.816960588844784,0.999999806845242,28435943,0.00017,0.0001,0.00033
"146","Yemen","YEM",1289,187,0.626970430599268,0.122981113144599,0.0509900287925505,0.256918010811169,29825968,0.0001,0.000031,0.00041
"147","Zambia","ZMB",712,101,0.549392089493687,0.370164575868448,0.197638512864466,0.611338338009851,18383956,0.00003,0.000011,0.000093
"148","Zimbabwe","ZWE",183,167,1.12360102421279,0.359670355962461,0.206495554752876,0.627549010153923,14862927,0.000062,0.000022,0.00018
